1,C625$@DOM1,U147@DOM1,C625,C625,Negotiate,Batch,LogOn,Success
1,C653$@DOM1,SYSTEM@C653,C653,C653,Negotiate,Service,LogOn,Success
1,C660$@DOM1,SYSTEM@C660,C660,C660,Negotiate,Service,LogOn,Failure
1,C660$@DOM1,SYSTEM@C660,C660,C660,Negotiate,Service,LogOn,Failure
2,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
2,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
2,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
2,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
3,C660$@DOM1,U146@C660,C660,C660,Negotiate,Service,LogOn,Failure
3,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
3,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
4,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
4,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Success
4,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
7,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
7,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
7,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
7,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Success
7,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
7,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
7,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U146@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Success
8,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
8,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
20,C661$@DOM1,U146@C661,C661,C661,Negotiate,Service,LogOn,Failure
20,C661$@DOM1,U147@C661,C661,C661,Negotiate,Service,LogOn,Failure
20,C661$@DOM1,U148@C661,C661,C661,Negotiate,Service,LogOn,Failure
20,C661$@DOM1,U148@C661,C661,C661,Negotiate,Service,LogOn,Failure
20,C660$@DOM1,U146@C660,C660,C660,Negotiate,Service,LogOn,Failure
20,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
20,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
20,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
21,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Success
21,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
21,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
21,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
21,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
21,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
21,C660$@DOM1,U146@C660,C660,C660,Negotiate,Service,LogOn,Failure
21,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
21,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
22,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Failure
22,C660$@DOM1,U148@C660,C660,C660,Negotiate,Service,LogOn,Success
22,C660$@DOM1,U147@C660,C660,C660,Negotiate,Service,LogOn,Failure
